team,season,season_type,safety,interception,fumble,fumble_lost,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,assist_tackle,tackle_with_assist,sack,qb_hit,def_touchdown,defensive_two_point_attempt,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv,defense_snaps,rush_snaps,pass_snaps,win,loss,tie,win_pct,rush_pct,pass_pct
JAX,2022,REG,0.0,14.0,20.0,13.0,17.0,3.0,2.0,645.0,270.0,106.0,35.0,107.0,4,0.0,0.0,0.0,0.0,1113,460,641,10.0,9.0,0.0,0.526,0.41,0.58
KC,2022,POST,0.0,3.0,3.0,2.0,1.0,2.0,1.0,131.0,26.0,5.0,9.0,20.0,1,0.0,0.0,0.0,0.0,196,69,126,17.0,3.0,0.0,0.85,0.35,0.64
KC,2022,REG,1.0,11.0,21.0,13.0,13.0,8.0,1.0,623.0,267.0,88.0,55.0,112.0,2,0.0,0.0,0.0,0.0,1096,408,676,17.0,3.0,0.0,0.85,0.37,0.62
LA,2022,REG,0.0,16.0,14.0,5.0,10.0,4.0,0.0,599.0,262.0,105.0,38.0,79.0,1,0.0,0.0,0.0,0.0,1052,445,593,5.0,12.0,0.0,0.294,0.42,0.56
LAC,2022,POST,0.0,4.0,0.0,0.0,0.0,0.0,0.0,42.0,14.0,4.0,2.0,4.0,0,0.0,0.0,0.0,0.0,71,22,49,10.0,8.0,0.0,0.556,0.31,0.69
LAC,2022,REG,1.0,14.0,16.0,7.0,13.0,3.0,1.0,565.0,240.0,109.0,40.0,77.0,1,0.0,0.0,0.0,0.0,1004,447,547,10.0,8.0,0.0,0.556,0.45,0.54
LV,2022,REG,0.0,6.0,15.0,7.0,9.0,6.0,1.0,616.0,257.0,96.0,27.0,88.0,3,0.0,0.0,0.0,0.0,1083,445,620,6.0,11.0,0.0,0.353,0.41,0.57
MIA,2022,POST,0.0,2.0,3.0,1.0,3.0,0.0,1.0,41.0,15.0,6.0,7.0,10.0,1,0.0,0.0,0.0,0.0,72,25,46,9.0,9.0,0.0,0.5,0.35,0.64
MIA,2022,REG,1.0,8.0,20.0,6.0,13.0,7.0,2.0,592.0,249.0,116.0,40.0,93.0,2,0.0,0.0,0.0,0.0,1091,402,665,9.0,9.0,0.0,0.5,0.37,0.61
MIN,2022,POST,0.0,0.0,2.0,0.0,2.0,0.0,1.0,39.0,11.0,5.0,3.0,4.0,0,0.0,0.0,0.0,0.0,68,26,38,13.0,5.0,0.0,0.722,0.38,0.56
MIN,2022,REG,0.0,15.0,19.0,8.0,12.0,7.0,0.0,683.0,239.0,118.0,38.0,85.0,1,0.0,0.0,0.0,0.0,1124,457,656,13.0,5.0,0.0,0.722,0.41,0.58
NE,2022,REG,0.0,19.0,21.0,8.0,13.0,8.0,4.0,602.0,295.0,132.0,54.0,88.0,7,0.0,0.0,0.0,0.0,1094,426,652,8.0,9.0,0.0,0.471,0.39,0.6
NO,2022,REG,0.0,7.0,15.0,7.0,10.0,5.0,0.0,619.0,246.0,88.0,48.0,76.0,1,0.0,0.0,0.0,0.0,1082,485,585,7.0,10.0,0.0,0.412,0.45,0.54
NYG,2022,POST,0.0,0.0,1.0,0.0,1.0,0.0,0.0,71.0,31.0,14.0,1.0,11.0,0,0.0,0.0,0.0,0.0,125,59,65,10.0,9.0,0.0,0.526,0.47,0.52
NYG,2022,REG,0.0,6.0,26.0,14.0,21.0,6.0,4.0,590.0,272.0,123.0,41.0,103.0,2,0.0,0.0,0.0,0.0,1079,457,607,10.0,9.0,0.0,0.526,0.42,0.56
NYJ,2022,REG,2.0,12.0,17.0,4.0,8.0,9.0,1.0,609.0,260.0,112.0,45.0,121.0,0,0.0,0.0,0.0,0.0,1093,477,601,7.0,10.0,0.0,0.412,0.44,0.55
PHI,2022,POST,0.0,1.0,5.0,3.0,3.0,2.0,0.0,100.0,26.0,6.0,8.0,19.0,0,0.0,0.0,0.0,0.0,150,68,80,16.0,4.0,0.0,0.8,0.45,0.53
PHI,2022,REG,0.0,17.0,23.0,10.0,15.0,8.0,2.0,662.0,225.0,82.0,70.0,115.0,2,0.0,0.0,0.0,0.0,1075,437,625,16.0,4.0,0.0,0.8,0.41,0.58
PIT,2022,REG,0.0,20.0,19.0,4.0,10.0,9.0,1.0,564.0,279.0,106.0,40.0,78.0,1,0.0,0.0,0.0,0.0,1026,428,580,9.0,8.0,0.0,0.529,0.42,0.57
SEA,2022,POST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,12.0,7.0,1.0,3.0,0,0.0,0.0,0.0,0.0,65,32,32,9.0,9.0,0.0,0.5,0.49,0.49
SEA,2022,REG,0.0,14.0,24.0,11.0,18.0,6.0,2.0,660.0,249.0,114.0,45.0,96.0,1,0.0,0.0,0.0,0.0,1120,509,593,9.0,9.0,0.0,0.5,0.45,0.53
SF,2022,POST,0.0,3.0,2.0,2.0,2.0,0.0,0.0,129.0,38.0,9.0,5.0,8.0,0,0.0,0.0,0.0,0.0,194,89,103,15.0,5.0,0.0,0.75,0.46,0.53
SF,2022,REG,0.0,20.0,16.0,8.0,13.0,3.0,1.0,618.0,251.0,99.0,44.0,117.0,3,0.0,0.0,0.0,0.0,1029,378,639,15.0,5.0,0.0,0.75,0.37,0.62
TB,2022,POST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,13.0,3.0,1.0,5.0,0,0.0,0.0,0.0,0.0,69,33,34,8.0,10.0,0.0,0.444,0.48,0.49
TB,2022,REG,0.0,10.0,24.0,11.0,13.0,11.0,3.0,636.0,243.0,92.0,45.0,100.0,1,0.0,0.0,0.0,0.0,1077,448,614,8.0,10.0,0.0,0.444,0.42,0.57
TEN,2022,REG,0.0,14.0,26.0,9.0,13.0,13.0,3.0,621.0,249.0,127.0,39.0,101.0,1,1.0,0.0,0.0,0.0,1107,379,713,7.0,10.0,0.0,0.412,0.34,0.64
WAS,2022,REG,1.0,9.0,12.0,6.0,7.0,5.0,2.0,564.0,236.0,78.0,43.0,107.0,3,1.0,0.0,0.0,0.0,999,428,555,9.0,8.0,0.0,0.529,0.43,0.56
ARI,2023,REG,0.0,11.0,8.0,5.0,4.0,4.0,1.0,602.0,268.0,126.0,33.0,55.0,1,0.0,0.0,0.0,0.0,1062,510,537,4.0,13.0,0.0,0.235,0.48,0.51
ATL,2023,REG,1.0,8.0,24.0,8.0,18.0,6.0,1.0,580.0,279.0,116.0,42.0,93.0,1,0.0,0.0,0.0,0.0,1092,479,593,7.0,10.0,0.0,0.412,0.44,0.54
BAL,2023,POST,0.0,0.0,3.0,0.0,2.0,1.0,1.0,63.0,34.0,11.0,2.0,12.0,0,0.0,0.0,0.0,0.0,120,42,74,14.0,5.0,0.0,0.737,0.35,0.62
BAL,2023,REG,1.0,18.0,19.0,10.0,15.0,4.0,0.0,624.0,242.0,110.0,60.0,114.0,1,0.0,0.0,0.0,0.0,1116,406,698,14.0,5.0,0.0,0.737,0.36,0.63
BUF,2023,POST,0.0,1.0,4.0,2.0,4.0,0.0,2.0,53.0,26.0,6.0,1.0,8.0,0,0.0,0.0,0.0,0.0,110,43,62,12.0,7.0,0.0,0.632,0.39,0.56
BUF,2023,REG,0.0,18.0,22.0,13.0,15.0,8.0,3.0,608.0,230.0,120.0,54.0,110.0,2,0.0,0.0,0.0,0.0,1020,401,606,12.0,7.0,0.0,0.632,0.39,0.59
CAR,2023,REG,0.0,8.0,11.0,2.0,5.0,6.0,0.0,536.0,278.0,111.0,27.0,72.0,2,0.0,0.0,0.0,0.0,1018,472,509,2.0,15.0,0.0,0.118,0.46,0.5
CHI,2023,REG,0.0,22.0,18.0,7.0,11.0,7.0,5.0,584.0,240.0,113.0,30.0,85.0,2,1.0,0.0,0.0,0.0,1040,379,650,7.0,10.0,0.0,0.412,0.36,0.62
CIN,2023,REG,0.0,17.0,16.0,8.0,12.0,5.0,1.0,598.0,263.0,115.0,44.0,104.0,1,0.0,0.0,0.0,0.0,1058,448,601,9.0,8.0,0.0,0.529,0.42,0.57
CLE,2023,POST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9.0,6.0,0.0,1.0,0,0.0,0.0,0.0,0.0,44,19,22,11.0,7.0,0.0,0.611,0.43,0.5
CLE,2023,REG,0.0,18.0,20.0,10.0,13.0,7.0,2.0,591.0,199.0,102.0,49.0,103.0,3,0.0,0.0,0.0,0.0,1006,407,584,11.0,7.0,0.0,0.611,0.4,0.58
DAL,2023,POST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,15.0,5.0,0.0,3.0,0,0.0,0.0,0.0,0.0,54,32,21,12.0,6.0,0.0,0.667,0.59,0.39
DAL,2023,REG,1.0,17.0,20.0,10.0,14.0,6.0,1.0,545.0,246.0,107.0,46.0,93.0,6,0.0,0.0,0.0,0.0,1019,449,554,12.0,6.0,0.0,0.667,0.44,0.54
DEN,2023,REG,1.0,11.0,26.0,14.0,17.0,9.0,0.0,597.0,255.0,122.0,42.0,96.0,1,1.0,0.0,0.0,0.0,1087,458,614,8.0,9.0,0.0,0.471,0.42,0.56
DET,2023,POST,0.0,3.0,1.0,0.0,1.0,0.0,1.0,99.0,39.0,17.0,8.0,19.0,0,0.0,0.0,0.0,0.0,182,63,117,14.0,6.0,0.0,0.7,0.35,0.64
DET,2023,REG,1.0,16.0,15.0,7.0,12.0,3.0,3.0,614.0,216.0,89.0,41.0,115.0,1,1.0,0.0,0.0,0.0,1041,401,630,14.0,6.0,0.0,0.7,0.39,0.61
GB,2023,POST,0.0,2.0,0.0,0.0,0.0,0.0,0.0,88.0,32.0,9.0,5.0,14.0,1,0.0,0.0,0.0,0.0,155,50,103,10.0,9.0,0.0,0.526,0.32,0.66
GB,2023,REG,0.0,7.0,18.0,12.0,11.0,9.0,0.0,624.0,266.0,114.0,45.0,102.0,2,0.0,0.0,0.0,0.0,1066,484,568,10.0,9.0,0.0,0.526,0.45,0.53
HOU,2023,POST,0.0,2.0,0.0,0.0,0.0,0.0,0.0,87.0,27.0,14.0,7.0,12.0,2,0.0,0.0,0.0,0.0,137,62,75,11.0,8.0,0.0,0.579,0.45,0.55
HOU,2023,REG,0.0,14.0,19.0,8.0,14.0,5.0,3.0,616.0,289.0,133.0,46.0,108.0,1,0.0,0.0,0.0,0.0,1087,465,615,11.0,8.0,0.0,0.579,0.43,0.57
IND,2023,REG,1.0,15.0,25.0,11.0,17.0,9.0,2.0,648.0,270.0,135.0,51.0,100.0,4,0.0,0.0,0.0,0.0,1138,509,614,9.0,8.0,0.0,0.529,0.45,0.54
JAX,2023,REG,0.0,16.0,18.0,10.0,12.0,6.0,1.0,591.0,246.0,109.0,40.0,102.0,2,0.0,0.0,0.0,0.0,1080,403,658,9.0,8.0,0.0,0.529,0.37,0.61
KC,2023,POST,0.0,2.0,6.0,3.0,5.0,1.0,1.0,144.0,59.0,10.0,7.0,23.0,0,1.0,0.0,0.0,0.0,265,102,161,15.0,6.0,0.0,0.714,0.38,0.61
KC,2023,REG,0.0,8.0,26.0,11.0,16.0,10.0,5.0,635.0,204.0,86.0,57.0,119.0,2,0.0,0.0,0.0,0.0,1049,423,610,15.0,6.0,0.0,0.714,0.4,0.58
LA,2023,POST,0.0,0.0,1.0,0.0,1.0,0.0,0.0,29.0,15.0,2.0,3.0,5.0,0,0.0,0.0,0.0,0.0,55,22,30,10.0,8.0,0.0,0.556,0.4,0.55
LA,2023,REG,2.0,10.0,17.0,6.0,8.0,9.0,3.0,534.0,280.0,121.0,41.0,85.0,0,1.0,0.0,0.0,0.0,1085,417,646,10.0,8.0,0.0,0.556,0.38,0.6
LAC,2023,REG,0.0,9.0,22.0,11.0,14.0,8.0,1.0,637.0,228.0,116.0,48.0,86.0,0,0.0,0.0,0.0,0.0,1114,447,647,5.0,12.0,0.0,0.294,0.4,0.58
LV,2023,REG,1.0,13.0,17.0,8.0,13.0,4.0,1.0,624.0,269.0,111.0,46.0,87.0,5,0.0,0.0,0.0,0.0,1090,462,610,8.0,9.0,0.0,0.471,0.42,0.56
MIA,2023,POST,0.0,0.0,3.0,1.0,2.0,1.0,0.0,33.0,23.0,5.0,0.0,5.0,0,0.0,0.0,0.0,0.0,75,34,41,11.0,7.0,0.0,0.611,0.45,0.55
MIA,2023,REG,0.0,15.0,19.0,11.0,15.0,4.0,2.0,594.0,252.0,127.0,56.0,131.0,4,0.0,0.0,0.0,0.0,1059,415,626,11.0,7.0,0.0,0.611,0.39,0.59
MIN,2023,REG,0.0,11.0,25.0,11.0,23.0,2.0,3.0,638.0,279.0,124.0,43.0,87.0,2,1.0,0.0,0.0,0.0,1098,433,646,7.0,10.0,0.0,0.412,0.39,0.59
NE,2023,REG,1.0,10.0,26.0,7.0,17.0,9.0,5.0,608.0,267.0,118.0,36.0,75.0,1,0.0,0.0,0.0,0.0,1096,454,613,4.0,13.0,0.0,0.235,0.41,0.56
NO,2023,REG,0.0,18.0,14.0,11.0,9.0,5.0,0.0,567.0,262.0,100.0,34.0,72.0,2,1.0,0.0,0.0,0.0,1059,446,596,9.0,8.0,0.0,0.529,0.42,0.56
NYG,2023,REG,0.0,18.0,27.0,14.0,19.0,8.0,4.0,639.0,240.0,86.0,34.0,76.0,3,0.0,0.0,0.0,0.0,1093,468,614,6.0,11.0,0.0,0.353,0.43,0.56
NYJ,2023,REG,3.0,17.0,27.0,10.0,15.0,13.0,5.0,597.0,265.0,121.0,48.0,98.0,3,0.0,0.0,0.0,0.0,1089,506,567,7.0,10.0,0.0,0.412,0.46,0.52
PHI,2023,POST,0.0,0.0,1.0,0.0,0.0,1.0,0.0,38.0,15.0,5.0,4.0,5.0,0,0.0,0.0,0.0,0.0,69,29,40,11.0,7.0,0.0,0.611,0.42,0.58
PHI,2023,REG,1.0,9.0,19.0,8.0,14.0,5.0,1.0,642.0,222.0,73.0,43.0,99.0,3,0.0,0.0,0.0,0.0,1110,406,695,11.0,7.0,0.0,0.611,0.37,0.63
PIT,2023,POST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,16.0,2.0,2.0,3.0,0,0.0,0.0,0.0,0.0,66,33,32,10.0,8.0,0.0,0.556,0.5,0.48
PIT,2023,REG,1.0,16.0,24.0,12.0,19.0,6.0,2.0,616.0,238.0,116.0,47.0,104.0,2,0.0,0.0,0.0,0.0,1080,448,617,10.0,8.0,0.0,0.556,0.41,0.57
