game_id,season,week,team,season_type,safety,interception,fumble,fumble_lost,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,assist_tackle,tackle_with_assist,sack,qb_hit,def_touchdown,defensive_two_point_attempt,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv,total_off_points,total_def_points,extra_point,field_goal,kickoff,no_play,pass_snaps,punt,qb_kneel,qb_spike,rush_snaps,defense_snaps,st_snaps,rush_pct,pass_pct,home_win,home_loss,home_tie,away_win,away_loss,away_tie,win,loss,tie
2012_11_MIA_BUF,2012,11,MIA,REG,0,0,2,0,2,0,0,33,22,17,3,4,0,0,0,0,0,13.0,0.0,1,4,3,8,30,7,1,0,30,61,15,0.49,0.49,0,0,0,0,1,0,4,6,0
2012_12_SEA_MIA,2012,12,MIA,REG,0,0,0,0,0,0,0,42,5,0,2,4,0,0,0,0,0,21.0,0.0,3,0,4,6,29,7,0,0,27,56,14,0.48,0.52,1,0,0,0,0,0,5,6,0
2012_13_NE_MIA,2012,13,MIA,REG,0,1,0,0,0,0,0,52,6,1,4,7,0,0,0,0,0,23.0,0.0,2,4,5,7,44,3,2,0,30,76,14,0.39,0.58,0,1,0,0,0,0,5,7,0
2012_14_MIA_SF,2012,14,MIA,REG,0,0,2,1,1,1,0,36,13,13,4,7,0,0,0,0,0,27.0,0.0,3,2,4,3,27,4,3,0,25,55,13,0.45,0.49,0,0,0,0,1,0,5,8,0
2012_15_JAX_MIA,2012,15,MIA,REG,0,0,2,0,0,2,0,37,4,0,2,5,0,0,0,0,0,3.0,0.0,0,1,6,6,36,5,0,0,21,57,12,0.37,0.63,1,0,0,0,0,0,6,8,0
2012_16_BUF_MIA,2012,16,MIA,REG,0,1,3,3,3,0,0,53,0,0,2,5,0,0,0,0,0,10.0,0.0,1,1,5,8,37,4,0,0,28,65,11,0.43,0.57,1,0,0,0,0,0,7,8,0
2012_17_MIA_NE,2012,17,MIA,REG,0,0,0,0,0,0,0,41,16,0,1,2,0,0,0,0,0,28.0,0.0,4,0,1,5,37,5,0,0,38,75,10,0.51,0.49,0,0,0,0,1,0,7,9,0
2012_01_JAX_MIN,2012,1,MIN,REG,0,0,1,1,0,1,0,50,9,0,2,7,0,0,0,0,0,23.0,0.0,1,3,6,5,42,4,1,0,33,76,14,0.43,0.55,1,0,0,0,0,0,1,0,0
2012_02_MIN_IND,2012,2,MIN,REG,0,0,1,0,0,1,0,45,11,0,2,3,0,0,0,0,0,23.0,0.0,2,3,5,8,31,5,0,2,30,63,15,0.48,0.49,0,0,0,0,1,0,1,1,0
2012_03_SF_MIN,2012,3,MIN,REG,0,1,2,2,2,0,0,40,10,2,3,4,0,0,0,0,0,13.0,0.0,1,3,4,1,38,3,0,0,20,58,11,0.34,0.66,1,0,0,0,0,0,2,1,0
2012_04_MIN_DET,2012,4,MIN,REG,0,0,1,1,1,0,0,43,11,3,5,9,0,0,0,0,0,19.0,0.0,1,2,5,3,55,5,0,1,20,76,13,0.26,0.72,0,0,0,1,0,0,3,1,0
2012_05_TEN_MIN,2012,5,MIN,REG,0,1,2,1,2,0,1,44,8,1,2,5,0,0,0,0,0,7.0,0.0,1,0,7,6,50,6,1,0,18,69,14,0.26,0.72,1,0,0,0,0,0,4,1,0
2012_06_MIN_WAS,2012,6,MIN,REG,0,1,1,0,1,0,1,28,16,9,1,3,0,0,0,0,0,32.0,0.0,5,1,7,4,23,3,2,0,30,55,16,0.55,0.42,0,0,0,0,1,0,4,2,0
2012_07_ARI_MIN,2012,7,MIN,REG,0,1,2,1,2,0,0,50,7,0,7,9,1,0,0,0,0,15.0,6.0,2,1,4,5,43,6,0,0,26,69,13,0.38,0.62,1,0,0,0,0,0,5,2,0
2012_08_TB_MIN,2012,8,MIN,REG,0,0,0,0,0,0,0,38,18,1,1,3,0,0,0,0,0,36.0,0.0,3,3,4,1,38,6,2,0,39,79,16,0.49,0.48,0,1,0,0,0,0,5,3,0
2012_09_MIN_SEA,2012,9,MIN,REG,0,0,1,0,0,1,1,34,24,3,1,4,0,0,0,0,0,30.0,0.0,4,1,5,6,26,4,1,0,44,71,14,0.62,0.37,0,0,0,0,1,0,5,4,0
2012_10_DET_MIN,2012,10,MIN,REG,0,1,2,1,1,1,0,41,7,1,2,3,0,0,0,0,0,24.0,0.0,3,1,8,3,44,6,0,0,17,61,18,0.28,0.72,1,0,0,0,0,0,6,4,0
2012_12_MIN_CHI,2012,12,MIN,REG,0,1,1,1,1,0,0,60,4,0,1,6,0,0,0,0,0,28.0,0.0,2,3,3,3,32,4,1,0,39,72,12,0.54,0.44,0,0,0,0,1,0,6,5,0
