player_id,player_name,position,birth_year,draft_year,draft_round,draft_pick,draft_ovr,height,weight,college,season,team,season_type,solo_tackle,assist_tackle,tackle_with_assist,sack,qb_hit,safety,interception,def_touchdown,defensive_two_point_attempt,fumble_forced,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv,defense_snaps,team_defense_snaps,defense_pct,age
00-0018093,Antoine Winfield,CB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,MIN,REG,82.0,33.0,7.0,3.0,9.0,0.0,6.0,0.0,0.0,0,0.0,0.0,0.0,934.0,990.0,0.9434343434343434,0.0
00-0018227,Charles Woodson,FS,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,GB,POST,7.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,140.0,140.0,1.0,0.0
00-0018227,Charles Woodson,FS,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,GB,REG,28.0,17.0,4.0,7.0,10.0,0.0,2.0,0.0,0.0,2,0.0,0.0,0.0,467.0,487.0,0.9589322381930184,0.0
00-0018956,Brad Meester,C,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,DET,REG,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0018956,Brad Meester,C,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,MIN,REG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0018956,Brad Meester,C,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,TEN,REG,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0019104,Paris Lenon,MLB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,ARI,REG,75.0,41.0,14.0,8.0,13.0,0.0,4.0,0.0,0.0,3,0.0,0.0,0.0,1014.0,1080.0,0.9388888888888888,0.0
00-0019456,Brian Urlacher,MLB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,CHI,REG,57.0,19.0,9.0,0.0,2.0,0.0,2.0,2.0,0.0,5,0.0,0.0,0.0,716.0,782.0,0.9156010230179028,0.0
00-0019538,Clark Haggans,OLB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,SF,REG,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,25.0,128.0,0.1953125,0.0
00-0019546,John Abraham,OLB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,ATL,REG,65.0,4.0,1.0,37.0,46.0,0.0,0.0,3.0,0.0,18,0.0,0.0,0.0,732.0,1023.0,0.7155425219941349,0.0
00-0019596,Tom Brady,QB,1977,2000.0,6.0,33.0,199.0,76.0,225.0,Michigan,2012,SEA,REG,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
00-0019596,Tom Brady,QB,1977,2000.0,6.0,33.0,199.0,76.0,225.0,Michigan,2012,SF,REG,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
00-0019632,Cooper Carlisle,G,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,KC,REG,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0019986,Juqua Parker,DE,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,CLE,REG,36.0,9.0,3.0,23.0,28.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,490.0,1088.0,0.4503676470588235,0.0
00-0020245,Michael Vick,QB,1980,2001.0,1.0,1.0,0.0,72.0,215.0,Virginia Tech,2012,CLE,REG,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,32.0
00-0020245,Michael Vick,QB,1980,2001.0,1.0,1.0,0.0,72.0,215.0,Virginia Tech,2012,NYG,REG,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
00-0020260,Roberto Garza,C,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,GB,REG,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0020286,Ron Edwards,NT,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,CAR,REG,10.0,7.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,296.0,686.0,0.4314868804664723,0.0
00-0020337,Steve Smith,WR,1979,2001.0,3.0,12.0,74.0,69.0,185.0,Utah,2012,NO,REG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
00-0020337,Steve Smith,WR,1979,2001.0,3.0,12.0,74.0,69.0,185.0,Utah,2012,TB,REG,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
00-0020382,Kyle Vanden Bosch,DE,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,DET,REG,43.0,16.0,7.0,16.0,26.0,3.0,0.0,0.0,0.0,3,0.0,0.0,0.0,641.0,1035.0,0.6193236714975845,0.0
